Age,Gender,self_employed,family_history,treatment,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
40,0,0,0,1,5,1,1,1,1,1,1,1,4,1,2,0,0,2,2,2,1
21,0,0,0,1,5,0,0,2,0,0,2,2,4,2,2,0,0,2,2,2,0
29,0,0,0,0,5,0,0,2,0,0,2,1,4,2,2,1,1,2,1,1,0
32,0,0,1,1,5,1,1,2,0,0,2,2,4,2,2,1,1,2,1,2,0
29,1,0,1,1,4,1,0,1,1,1,2,1,4,2,2,1,0,2,1,2,0
23,0,0,1,1,5,1,0,2,0,0,2,1,4,2,2,1,1,2,1,1,0
28,0,0,1,0,5,0,1,1,0,0,2,1,4,2,2,1,1,2,2,1,1
31,0,0,1,1,5,1,1,1,1,1,2,1,4,2,2,1,1,2,2,1,0
27,0,0,0,0,5,0,0,2,0,0,2,2,4,2,2,1,1,2,2,2,0
24,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
29,0,0,0,0,5,0,1,2,0,0,2,2,3,1,2,0,0,2,2,2,0
23,1,0,0,1,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,1,0
42,0,0,0,0,5,1,1,2,1,0,1,2,4,2,2,1,1,2,2,1,0
24,0,0,0,0,5,0,1,2,0,0,2,2,4,1,2,1,1,2,1,2,0
25,0,0,1,1,5,0,1,2,1,0,2,2,4,1,2,0,0,2,1,2,1
27,1,0,0,1,5,0,1,1,0,0,2,1,4,2,2,1,0,2,2,2,0
27,0,0,0,0,5,1,1,2,1,0,2,2,4,1,1,1,1,2,2,2,0
30,0,0,0,1,5,1,1,1,1,0,1,1,4,2,2,1,1,2,2,1,0
29,0,0,1,1,5,0,1,2,1,0,2,1,4,2,2,1,1,2,1,2,0
43,0,1,0,0,5,1,1,2,0,0,2,2,4,2,2,1,1,1,1,2,0
32,0,0,0,0,5,0,1,2,1,0,2,2,4,2,2,1,1,2,2,2,0
41,0,0,0,1,5,1,1,1,1,0,2,2,4,2,2,1,1,1,1,1,0
32,0,1,1,1,5,1,1,2,0,0,2,2,4,2,2,1,1,2,2,2,1
37,1,0,1,1,5,0,1,1,1,0,2,1,4,2,2,1,1,2,1,2,0
32,0,0,0,0,5,1,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
30,0,1,0,0,5,1,1,2,0,0,2,2,3,2,2,1,1,2,2,2,0
23,1,0,1,1,5,0,0,1,0,0,2,1,4,2,2,1,1,2,2,1,0
30,0,0,0,0,5,0,1,1,1,1,1,1,4,2,2,1,1,2,2,1,0
34,0,0,0,0,5,0,1,2,1,0,2,2,4,2,2,1,1,2,2,2,0
38,0,0,0,1,5,1,1,1,0,0,2,2,4,1,2,0,0,2,2,2,0
33,0,0,0,0,5,0,1,1,0,1,1,1,4,2,2,1,1,2,2,2,0
34,0,0,0,0,5,0,0,1,0,0,2,2,4,2,2,1,0,2,2,2,0
28,0,0,0,0,5,0,1,2,1,0,2,2,4,2,2,0,1,2,2,2,0
28,0,0,0,1,5,0,0,1,1,1,2,2,4,2,2,1,1,2,2,1,0
23,0,0,1,0,5,0,1,2,0,0,2,2,4,2,2,1,0,2,2,2,0
22,0,1,1,1,5,1,1,2,0,1,1,2,4,2,2,1,1,2,1,2,1
27,0,0,0,0,5,0,1,2,0,0,2,1,4,1,2,0,0,2,2,2,0
18,0,0,0,1,5,0,1,2,0,0,2,2,4,1,2,0,0,2,2,2,0
35,0,0,1,1,5,0,1,1,1,0,2,1,3,1,2,0,1,2,2,2,0
25,0,0,0,0,5,0,0,2,0,0,2,2,4,2,2,1,1,2,1,2,0
27,0,0,1,1,5,0,1,2,0,0,2,1,4,2,2,1,1,1,1,1,0
26,1,0,1,1,5,0,1,1,0,0,2,2,4,2,2,1,1,2,2,2,0
18,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,1,0
38,1,0,0,1,5,0,1,2,1,0,2,2,4,2,2,1,0,2,2,2,1
26,1,0,1,1,5,1,1,1,1,1,2,2,4,2,2,1,0,2,2,2,0
30,0,1,0,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,1,0
35,0,0,0,0,5,0,1,2,0,0,2,2,4,1,2,1,1,2,2,2,0
45,0,0,1,1,5,0,1,1,1,0,2,1,4,2,2,1,1,2,2,2,0
32,0,0,0,0,5,0,1,1,0,0,2,2,4,2,2,1,1,2,2,2,0
56,0,0,0,1,5,0,1,1,0,0,2,2,4,2,2,1,1,2,2,2,0
24,1,0,0,0,4,0,1,2,0,0,2,2,4,2,2,1,0,2,2,2,0
30,1,0,1,1,5,0,1,1,1,1,2,2,4,2,2,1,1,2,1,1,0
60,0,0,0,0,5,0,1,1,0,0,1,2,4,2,2,1,1,2,2,1,0
33,0,0,1,1,5,0,1,1,0,1,1,2,4,1,2,0,0,2,2,2,0
37,0,0,0,0,5,0,1,1,1,1,1,2,4,2,2,1,1,2,2,2,0
23,1,0,0,1,5,0,1,1,1,1,1,2,4,2,2,1,1,2,2,1,0
31,1,0,0,1,5,0,1,1,0,0,2,1,4,2,2,1,1,2,2,1,0
26,0,0,0,0,5,0,1,1,0,0,2,2,4,2,2,1,1,2,2,2,0
28,1,0,1,1,5,1,0,1,1,1,1,1,4,1,2,1,1,2,2,1,0
37,1,0,0,1,5,0,1,1,1,0,1,2,4,2,2,1,1,2,2,1,0
26,0,0,1,1,5,0,1,1,0,0,2,2,4,2,2,1,1,2,2,1,0
30,0,0,1,1,5,0,1,1,0,0,2,2,4,2,2,1,1,2,2,2,0
26,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,2,1
25,0,0,0,0,5,1,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
27,0,0,0,0,5,0,1,1,0,1,1,2,4,2,2,1,1,2,2,2,0
25,0,0,0,1,5,1,0,2,0,0,2,2,3,1,2,0,0,2,2,2,0
35,0,0,0,1,5,0,1,1,0,0,1,2,4,2,2,1,1,2,2,2,0
36,0,1,0,1,5,0,1,2,1,0,2,2,4,2,2,1,1,2,2,1,0
26,0,0,1,1,5,0,1,1,0,0,2,2,4,1,2,0,0,2,2,2,0
27,0,0,1,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,1,0
30,0,0,0,0,5,0,0,2,0,0,2,2,4,2,2,1,1,2,2,2,0
29,0,0,0,0,5,0,0,2,0,0,2,2,4,2,2,0,0,2,2,2,0
25,0,0,0,0,5,0,0,1,1,1,1,1,4,2,2,1,1,2,2,1,0
22,1,0,1,1,5,0,1,1,1,1,1,1,4,2,2,0,1,2,2,1,1
29,0,0,0,0,5,0,1,2,1,0,2,2,4,2,2,1,1,2,2,2,0
41,0,0,1,1,5,1,1,1,1,0,1,1,4,2,2,1,1,2,2,1,0
29,0,0,0,1,5,0,1,1,0,0,2,2,4,1,2,1,1,2,2,2,0
32,0,0,0,0,4,0,1,1,0,0,1,1,4,2,2,1,1,2,2,1,0
24,1,0,1,1,5,0,1,1,1,0,1,1,4,2,2,1,0,2,2,2,0
25,0,0,0,1,5,0,1,1,0,0,2,2,4,2,2,0,0,2,2,2,0
25,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,0,0,2,2,2,0
30,1,0,0,0,5,0,1,1,1,1,1,1,4,2,2,0,1,2,2,2,0
25,0,0,1,1,5,0,1,2,0,0,1,2,4,2,2,1,1,2,2,1,0
30,0,1,0,0,5,1,1,2,1,0,2,2,4,2,2,1,1,2,2,2,0
33,0,1,1,1,5,0,0,2,0,0,2,2,3,1,1,0,0,2,2,1,1
24,0,0,0,0,5,0,1,1,0,1,1,1,4,2,2,1,1,2,2,1,0
25,0,0,1,1,5,0,1,1,1,0,2,2,4,1,2,1,0,2,2,2,0
31,0,0,0,0,5,0,0,2,0,0,2,1,4,2,2,0,0,2,1,2,0
45,0,1,0,1,5,0,1,2,0,0,2,2,4,2,2,0,0,2,2,2,0
29,0,0,0,0,5,1,0,2,1,0,2,2,4,2,2,1,1,2,2,2,0
46,0,0,0,0,5,0,1,1,0,1,2,2,4,2,2,1,1,2,2,2,0
30,0,0,0,1,5,0,1,2,0,0,2,2,4,1,2,0,0,2,2,2,0
29,1,1,0,0,5,0,1,1,0,0,2,2,4,2,2,1,1,2,2,2,0
24,0,0,0,0,5,0,1,1,1,0,2,1,4,1,2,0,0,2,2,2,0
29,0,0,0,0,5,0,1,1,1,1,1,1,4,2,2,1,1,2,2,1,0
35,0,0,0,0,5,0,0,2,0,0,2,2,4,2,2,1,1,2,2,2,0
33,1,0,1,0,5,1,1,2,1,0,2,2,4,1,2,1,1,2,2,2,0
27,0,0,0,0,5,0,1,2,0,0,2,2,4,1,2,0,0,2,2,2,0
36,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
33,0,0,0,0,5,1,1,2,0,0,2,2,4,1,2,0,0,2,2,2,0
25,1,0,1,1,5,0,1,1,1,0,2,1,4,2,2,1,1,2,2,2,0
23,0,0,1,1,5,0,0,2,0,0,2,2,4,2,2,1,1,2,1,2,0
54,0,0,1,1,5,0,1,2,0,1,1,2,4,2,2,0,1,2,2,2,0
22,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,1,0,2,2,2,0
25,0,0,1,1,5,0,1,1,1,0,2,2,4,2,2,1,1,2,2,1,0
29,0,0,0,0,5,0,0,2,0,0,2,2,4,2,2,1,1,2,2,2,0
27,0,0,0,1,5,0,1,1,1,1,1,1,4,2,2,0,0,2,1,1,0
30,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,1,0
26,0,0,1,1,5,0,1,1,0,0,1,2,4,2,2,1,0,2,2,2,0
25,1,0,1,0,5,0,1,1,1,1,2,2,4,2,2,1,1,2,2,2,0
31,0,0,0,1,4,0,0,2,1,0,2,1,4,2,2,1,0,2,2,2,0
33,0,0,1,1,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
34,0,0,1,1,5,0,1,1,1,0,1,1,4,2,2,0,0,2,2,2,0
34,0,0,0,1,5,1,1,2,0,0,2,2,4,1,1,1,1,2,2,2,0
29,0,1,0,0,5,1,1,2,1,0,2,1,4,2,2,1,1,2,2,1,0
33,1,0,0,0,5,0,1,2,0,0,2,2,3,2,2,1,1,2,2,2,0
34,0,1,1,1,5,1,1,2,0,0,2,2,3,2,2,1,1,2,2,1,0
26,0,1,1,1,5,1,0,2,0,0,2,2,4,2,2,1,1,2,1,2,0
32,0,0,1,1,5,0,0,1,1,1,1,1,4,2,2,1,1,2,1,1,0
28,0,0,1,1,5,0,1,2,0,0,2,2,3,2,2,0,0,2,2,2,0
35,0,0,1,0,5,0,1,1,0,1,1,1,4,2,2,1,1,2,2,2,0
36,0,0,1,1,5,0,1,2,1,0,2,1,4,2,2,1,1,2,2,2,0
21,0,0,1,1,5,0,1,1,0,0,2,1,4,2,2,1,1,2,2,2,0
21,0,0,0,1,5,0,0,2,0,0,2,2,4,1,2,1,0,2,2,2,0
22,1,0,0,0,5,0,1,1,0,1,1,1,4,2,2,0,1,2,2,1,0
41,0,0,1,1,5,0,1,1,0,1,1,2,3,2,2,1,1,2,2,2,1
55,0,0,1,1,5,0,1,1,1,1,1,1,4,2,2,1,1,2,2,1,0
32,1,0,0,1,5,0,1,1,1,1,1,1,4,2,2,1,1,2,2,1,0
21,1,0,1,1,5,0,1,2,0,0,2,2,4,1,2,1,0,2,1,2,0
45,0,0,0,1,5,1,1,1,1,0,2,2,4,2,2,0,1,2,2,2,0
27,1,0,0,1,5,0,1,1,1,0,2,1,4,1,2,0,0,2,2,2,0
25,1,0,1,1,5,1,1,2,0,0,2,2,4,2,2,1,1,2,2,1,0
34,0,0,1,1,5,0,0,1,1,1,1,1,4,2,2,1,1,2,2,1,0
26,1,0,1,1,5,0,1,1,1,0,1,1,4,2,2,0,0,2,2,2,0
41,0,0,0,1,4,0,1,1,0,0,2,2,4,2,2,1,1,2,2,2,0
27,0,0,0,1,5,0,1,1,0,1,1,1,4,2,2,1,1,2,2,1,0
31,0,0,1,1,5,1,1,1,0,0,2,2,4,2,2,1,1,2,2,2,0
25,0,0,1,1,5,1,1,2,0,0,2,1,4,2,2,1,1,2,1,2,0
26,0,0,0,1,5,0,1,2,0,0,2,2,4,1,1,1,0,2,2,2,0
27,1,0,1,1,5,1,1,1,1,0,2,2,4,2,2,0,1,2,2,2,0
42,0,0,0,0,4,0,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
29,0,1,1,1,5,1,1,1,1,0,2,2,4,1,2,1,0,2,2,2,0
25,1,0,0,1,5,0,1,2,0,0,2,2,3,1,2,1,0,2,2,2,0
33,1,0,1,1,5,0,1,1,1,0,1,1,4,2,2,1,0,2,1,2,0
40,1,0,1,1,5,0,0,1,0,0,2,2,4,2,2,0,0,2,2,2,0
31,0,0,0,0,5,0,1,2,0,0,2,2,4,1,2,1,0,2,2,2,0
26,0,0,1,1,5,1,1,2,0,0,2,2,4,2,2,1,1,2,2,1,0
24,1,0,1,0,4,0,0,2,0,0,2,2,4,1,2,0,0,2,2,2,1
29,0,0,0,0,5,0,0,1,0,0,2,2,4,2,2,1,1,2,2,2,0
48,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,0,0,2,2,2,0
35,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,2,1
32,1,0,0,0,5,0,1,2,0,0,2,2,4,2,2,0,1,2,2,2,0
29,0,0,0,1,5,0,1,2,0,0,2,1,4,2,2,1,1,2,2,1,0
26,0,0,1,1,5,0,1,1,1,0,2,2,3,2,2,1,1,2,2,2,0
28,0,0,1,1,5,0,1,1,1,0,2,2,4,2,2,1,0,2,2,2,0
23,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
35,0,0,1,1,5,0,1,1,1,0,2,2,4,2,2,1,1,2,2,2,1
29,0,0,1,1,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
26,0,0,1,0,5,0,1,1,1,0,1,1,4,2,2,1,1,2,2,2,0
33,0,0,1,1,5,1,1,1,1,1,1,2,4,1,2,1,1,2,2,1,0
33,0,0,0,0,5,1,1,2,0,0,2,2,4,1,2,1,0,2,2,1,0
22,0,1,0,0,5,1,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
30,1,0,1,0,4,0,1,2,0,0,2,2,4,1,2,0,0,2,2,2,0
33,0,0,1,1,5,1,1,1,1,0,2,2,4,1,2,0,0,2,2,2,0
31,1,0,1,1,5,0,0,2,0,0,2,2,4,1,2,0,0,2,2,2,0
21,0,0,1,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,2,1
31,0,0,1,1,5,0,1,2,0,0,2,2,4,1,2,0,0,2,1,1,0
26,1,0,0,1,5,1,1,2,0,0,2,2,3,2,2,1,1,2,2,1,0
30,0,0,1,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
30,1,0,1,1,5,0,1,2,0,0,2,2,3,2,2,1,1,2,2,2,0
23,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
34,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
55,0,0,1,1,5,1,1,2,1,0,2,2,4,1,2,0,0,2,2,2,1
28,0,0,1,1,5,1,1,1,0,0,2,1,4,2,2,1,1,2,2,1,0
26,0,0,0,0,5,1,1,2,0,0,2,2,4,2,2,1,0,2,1,2,0
28,0,0,1,1,5,1,1,1,1,1,2,2,4,2,2,1,1,1,1,1,0
32,0,0,1,1,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
28,1,0,0,1,5,0,0,1,1,0,2,2,4,2,2,0,0,2,2,2,0
21,0,0,0,0,5,0,0,2,0,0,1,1,4,2,2,1,1,2,2,1,0
24,0,0,1,1,5,0,1,2,1,0,2,2,3,1,2,1,1,2,2,2,1
26,1,0,0,0,5,0,0,1,0,1,2,2,4,2,2,1,0,2,2,2,0
23,0,0,0,0,5,0,0,1,0,0,2,2,4,2,2,1,0,2,1,2,0
24,1,0,0,0,5,0,1,1,1,1,1,1,4,2,2,1,1,1,1,1,0
28,0,1,0,0,5,1,1,2,0,0,2,2,4,2,2,1,1,2,2,1,0
24,1,0,1,1,5,0,1,2,0,0,2,2,4,1,2,0,1,2,1,1,0
33,0,1,0,1,5,1,1,2,0,0,2,1,4,1,2,1,1,1,1,2,0
34,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
27,1,0,0,1,5,0,1,2,0,0,2,2,3,2,2,1,1,2,2,2,0
28,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
26,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,2,1
20,0,0,0,0,5,1,1,2,0,0,2,1,4,2,2,1,1,2,2,2,0
23,1,0,0,1,5,0,1,1,1,0,2,2,4,2,2,1,0,2,2,2,0
29,0,0,1,1,5,1,1,1,1,1,1,1,4,2,2,1,1,2,2,1,0
26,0,0,1,0,5,0,1,2,0,0,2,2,4,2,2,0,0,2,2,2,0
36,0,0,0,0,5,1,1,1,0,1,2,2,4,2,2,0,0,2,2,2,0
41,0,0,0,1,5,0,1,1,1,1,1,1,4,2,2,1,1,2,1,1,1
33,1,0,0,0,5,1,1,1,0,0,2,2,4,2,2,1,1,2,2,1,0
23,0,0,1,1,5,0,1,1,1,0,2,1,4,2,2,1,1,2,2,1,0
39,0,0,1,0,5,0,1,1,0,0,2,2,4,1,2,1,1,2,2,2,1
34,0,0,1,0,5,0,1,1,0,0,2,2,4,2,2,1,1,2,2,2,1
26,1,0,0,1,5,0,1,1,1,0,2,2,3,1,2,1,1,2,2,2,1
24,0,0,0,1,5,0,1,1,1,1,2,2,4,2,2,1,1,2,2,2,0
37,0,0,1,1,5,0,0,1,1,1,1,2,4,2,2,1,1,2,2,2,0
43,0,1,1,1,5,1,1,1,1,0,2,1,4,2,2,1,1,2,2,1,0
40,0,0,1,0,5,0,1,1,1,1,2,1,4,1,2,0,1,2,2,1,0
30,0,0,1,1,5,0,1,1,1,1,2,2,4,1,2,1,0,2,2,2,1
34,0,0,0,1,5,0,1,2,0,0,2,2,4,1,1,1,0,2,2,2,0
27,0,0,1,1,5,0,1,2,0,0,2,2,4,1,2,0,0,2,1,2,0
36,0,0,0,0,5,0,1,2,0,0,2,1,4,2,2,1,1,2,1,2,0
27,0,0,0,0,5,0,1,2,1,0,2,2,4,2,2,1,1,2,2,2,0
35,0,0,1,0,5,0,1,1,0,0,2,1,4,1,2,0,0,2,2,2,0
32,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,1,0,2,1,1,0
37,0,0,0,0,4,0,1,1,0,0,2,2,4,2,2,1,1,2,2,2,0
29,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,1,0
33,1,0,0,0,4,0,1,1,0,1,1,2,4,2,2,1,1,2,2,1,0
28,0,0,0,0,5,1,1,2,1,0,2,2,4,1,2,1,0,2,2,2,0
26,1,0,1,0,5,0,1,2,0,0,2,2,3,2,2,1,0,2,2,2,0
27,0,0,1,1,5,1,1,2,0,1,2,2,4,1,2,1,1,2,2,1,0
38,0,1,0,1,5,1,1,2,0,0,2,1,4,2,2,1,1,2,2,1,0
57,0,0,1,1,5,0,1,1,1,0,2,2,4,2,2,1,1,2,2,2,0
28,0,0,0,1,5,0,1,2,0,0,2,2,4,1,2,0,1,2,2,2,0
26,0,0,0,0,5,0,1,2,1,0,2,2,4,2,2,1,1,2,2,2,0
42,1,0,0,1,5,1,1,1,1,0,2,1,4,1,2,1,0,2,2,2,0
31,0,0,0,1,5,1,1,1,1,1,1,1,4,2,2,1,1,2,2,1,0
58,0,0,0,1,5,0,1,1,1,1,1,1,4,2,2,1,1,2,1,1,0
29,0,0,0,0,5,0,1,2,0,0,2,2,4,1,2,0,0,2,2,2,0
39,1,0,0,1,5,0,1,1,1,0,1,2,4,1,2,1,1,2,2,2,1
34,0,0,0,0,5,1,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
57,0,0,0,1,5,0,1,1,0,1,1,2,4,2,2,0,0,2,2,2,0
27,0,0,1,1,5,0,1,2,0,0,2,2,3,1,2,1,0,2,2,2,1
23,0,1,1,1,5,1,1,2,0,0,2,2,4,2,2,1,1,2,1,2,0
18,0,0,0,0,4,1,0,2,0,0,2,2,4,1,2,0,0,2,2,2,0
30,1,0,0,0,5,0,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
23,0,0,0,0,5,0,0,2,0,0,2,2,4,2,2,1,1,2,1,1,0
43,0,0,0,1,5,0,1,1,1,1,1,1,4,1,2,0,0,2,1,2,0
18,1,0,1,1,5,1,1,2,0,0,2,2,4,2,2,1,1,2,2,2,0
29,0,0,0,1,5,0,1,1,1,0,2,2,4,2,2,1,0,2,2,2,0
48,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,0,0,2,2,2,0
43,0,0,0,1,5,0,0,2,1,0,2,2,4,2,2,1,1,2,1,2,1
28,1,0,1,1,5,0,1,2,0,0,2,2,4,1,2,1,0,2,2,2,0
30,0,1,1,1,5,1,1,2,1,0,2,1,4,2,2,1,1,2,2,1,0
26,0,0,0,0,5,0,1,2,0,0,2,1,4,2,2,1,1,2,2,1,0
33,0,0,0,0,5,0,0,2,0,0,2,2,4,2,2,1,1,2,2,2,0
31,0,0,0,0,5,0,1,1,0,0,2,1,4,2,2,0,1,2,2,1,0
30,0,0,0,0,5,0,0,2,0,0,2,2,4,2,2,1,1,2,2,2,0
27,0,0,0,0,5,0,1,2,0,0,2,2,3,1,2,1,0,2,2,2,1
24,1,1,1,1,5,1,1,2,0,0,2,2,4,2,2,1,1,2,2,2,1
25,0,0,0,0,5,0,1,2,0,0,2,2,4,2,2,1,0,2,2,2,0
23,1,0,1,1,5,0,1,1,0,0,2,2,4,2,2,1,1,2,2,1,1
36,0,0,0,1,5,0,0,1,0,0,2,2,3,1,2,1,0,2,2,2,1
25,1,1,1,1,5,1,1,2,0,0,2,1,3,1,2,1,0,2,2,2,1
54,0,0,0,1,5,1,0,2,1,1,1,1,4,2,2,1,1,2,2,2,0
